"","precursor_mz","precursor_rt","precursor_intensity","mz","intensity"
"2118",745.492814980394,1027.7,8427,283.242340087891,186
"2119",745.492814980394,1027.7,8427,327.230072021484,280
"2120",745.492814980394,1027.7,8427,745.476013183594,994
"2121",379.258831606974,1036.64,6769,283.266296386719,140
"2122",379.258831606974,1036.64,6769,379.355255126953,186
"2123",627.55003935297,1036.64,3103,283.261535644531,396
"2124",365.340479982773,1012.44,23410,365.342407226562,4614
"2125",821.515847189642,1023.87,8875,674.546264648438,116
"2126",821.515847189642,1023.87,8875,700.551147460938,116
"2127",821.515847189642,1023.87,8875,821.518188476562,910
"2128",825.502140446451,1032.81,1805,762.497192382812,163
"2129",910.547632564642,1028.98,482271,78.95947265625,116
"2130",910.547632564642,1028.98,482271,152.993728637695,210
"2131",910.547632564642,1028.98,482271,222.997375488281,210
"2132",910.547632564642,1028.98,482271,230.195083618164,116
"2133",910.547632564642,1028.98,482271,241.007507324219,1152
"2134",910.547632564642,1028.98,482271,242.012939453125,303
"2135",910.547632564642,1028.98,482271,283.240173339844,246
"2136",910.547632564642,1028.98,482271,283.263946533203,1005
"2137",910.547632564642,1028.98,482271,284.244323730469,240
"2138",910.547632564642,1028.98,482271,284.265777587891,601
"2139",910.547632564642,1028.98,482271,297.033721923828,186
"2140",910.547632564642,1028.98,482271,327.232879638672,554
"2141",910.547632564642,1028.98,482271,328.2353515625,522
"2142",910.547632564642,1028.98,482271,419.256927490234,585
"2143",910.547632564642,1028.98,482271,420.255432128906,762
"2144",910.547632564642,1028.98,482271,464.222290039062,186
"2145",910.547632564642,1028.98,482271,581.308776855469,364
"2146",910.547632564642,1028.98,482271,582.30712890625,797
"2147",910.547632564642,1028.98,482271,599.320129394531,186
"2148",910.547632564642,1028.98,482271,600.316528320312,163
"2149",910.547632564642,1028.98,482271,626.28662109375,186
"2150",910.547632564642,1028.98,482271,790.534484863281,233
"2151",910.547632564642,1028.98,482271,907.637084960938,243
"2152",910.547632564642,1028.98,482271,909.548950195312,382
"2153",910.547632564642,1028.98,482271,910.354309082031,245
"2154",910.547632564642,1028.98,482271,910.4267578125,295
"2155",910.547632564642,1028.98,482271,910.550415039062,87019
"2156",910.547632564642,1028.98,482271,911.552368164062,1937
"2157",465.316949713384,1036.64,5641,121.028671264648,349
"2158",809.512133248674,1032.81,27013,241.007446289062,186
"2159",809.512133248674,1032.81,27013,255.231170654297,264
"2160",809.512133248674,1032.81,27013,391.222473144531,148
"2161",809.512133248674,1032.81,27013,553.274047851562,171
"2162",809.512133248674,1032.81,27013,809.516723632812,6955
"2163",907.521275618406,1036.64,2256,581.309509277344,163
"2164",907.521275618406,1036.64,2256,907.536010742188,140
"2165",583.489991106344,1027.7,6340,491.445953369141,280
"2166",583.489991106344,1027.7,6340,509.451568603516,608
"2167",583.489991106344,1027.7,6340,583.487854003906,685
"2168",522.385081654248,1046.77,846,522.3876953125,116
"2169",703.445458440112,1045.5,1410,255.228775024414,116
"2170",703.445458440112,1045.5,1410,391.219482421875,116
"2171",703.445458440112,1045.5,1410,703.451293945312,280
"2172",703.445458440112,1045.5,1410,703.541198730469,356
"2173",834.516634760922,1018.79,510629,78.9581146240234,105
"2174",834.516634760922,1018.79,510629,152.995361328125,448
"2175",834.516634760922,1018.79,510629,222.999359130859,352
"2176",834.516634760922,1018.79,510629,224.002487182617,140
"2177",834.516634760922,1018.79,510629,241.009567260742,1817
"2178",834.516634760922,1018.79,510629,242.015014648438,268
"2179",834.516634760922,1018.79,510629,255.233352661133,1311
"2180",834.516634760922,1018.79,510629,256.236358642578,800
"2181",834.516634760922,1018.79,510629,259.02294921875,128
"2182",834.516634760922,1018.79,510629,279.231781005859,1331
