"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample"
"CP7488",741.031728521242,741.025573730469,741.037170410156,980.322,976.258,984.381,42709.7186249997,41657.3166636232,7124,26,1
"CP7489",199.168062171464,199.166778564453,199.168609619141,990.474,986.413,994.537,46505.8380000001,42476.2324500001,15604,30,1
"CP7490",317.247165504142,317.243713378906,317.249450683594,999.61,995.551,1002.66,31348.6588571425,30779.7791043335,9159,29,1
"CP7491",347.244277954102,347.241973876953,347.246215820312,999.61,997.581,1002.66,2754.84959999997,2723.89623370784,678,11,1
"CP7492",525.37630833073,525.37548828125,525.378662109375,968.132,963.052,973.208,5147742.26759997,5140662.49884164,1027845,1473,1
"CP7493",525.376131888522,525.373229980469,525.378967285156,955.943,951.882,963.052,686469.612727277,678747.334772732,180952,259,1
"CP7494",802.539454188862,802.534912109375,802.547058105469,950.867,945.786,954.927,25496.2803333335,24635.5028333335,3731,22,1
"CP7495",623.957034231927,623.954467773438,623.959350585938,985.397,974.225,995.551,97145.0076190477,95522.0554965987,9498,48,1
"CP7496",719.017891810905,719.014404296875,719.021484375,988.441,986.413,992.506,40648.4339999997,39297.9036249997,8480,32,1
"CP7497",614.942527826733,614.933715820312,614.949096679688,988.441,985.397,992.506,32383.5261428568,31990.0647551017,6106,49,1
"CP7498",614.939973736106,614.933959960938,614.947875976562,982.351,977.273,985.397,28248.1635000001,27805.5505714287,4749,38,1
"CP7499",628.45326214874,628.447204589844,628.464599609375,990.474,966.1,1007.74,68209.3668292683,60677.9857317073,6445,25,1
"CP7500",495.568849360556,495.565826416016,495.571807861328,1000.63,997.581,1003.67,6540.60083333327,6534.51183333327,1696,1695,1
"CP7501",623.453583712301,623.450561523438,623.457275390625,984.381,975.241,995.551,129522.963,125236.411988764,12551,31,1
"CP7502",353.32341199838,353.321807861328,353.324157714844,1003.67,1001.64,1006.72,3101.84800000002,3097.78400000003,1018,1017,1
"CP7503",427.304521773152,427.297515869141,427.311798095703,1004.69,1001.64,1006.72,3100.83200000002,3002.42514285717,1018,11,1
"CP7504",539.390098561469,539.387145996094,539.393859863281,1000.63,995.551,1006.72,23765.6012727272,22954.2532012987,5088,26,1
"CP7505",539.388598331266,539.385864257812,539.390380859375,987.427,983.366,995.551,16187.7725000001,15302.6192857144,3731,19,1
"CP7506",551.39126142595,551.389892578125,551.393249511719,980.322,975.241,984.381,120362.628888889,115921.024126984,27570,48,1
"CP7507",579.930863239176,579.925903320312,579.939636230469,995.551,991.489,1004.69,46504.0766153847,46124.8644840105,5428,33,1
"CP7508",601.943280515663,601.941467285156,601.945861816406,989.457,980.322,1006.72,74045.3746923078,71586.8796373627,6445,26,1
"CP7509",622.408170969774,622.404479980469,622.4111328125,998.596,993.521,1004.69,30653.8281818184,29472.8152207795,5088,18,1
"CP7510",627.9600259575,627.956298828125,627.962646484375,990.474,982.351,995.551,38920.7076923078,37789.0672428696,5088,24,1
"CP7511",723.014909394755,723.007690429688,723.02587890625,990.474,982.351,1004.69,45809.1657272728,42977.644956113,5088,21,1
"CP7512",405.323296751567,405.317993164062,405.326416015625,1004.69,999.61,1007.74,5515.18875,5342.934375,1696,18,1
"CP7513",413.308379009667,413.301544189453,413.313781738281,1004.69,1000.63,1007.74,17917.2,17608.6339887641,7124,58,1
"CP7514",422.342211263695,422.339569091797,422.345031738281,1004.69,1000.63,1007.74,7579.26000000001,7284.1224489796,3392,20,1
"CP7515",533.280425290733,533.278625488281,533.2822265625,1003.67,999.61,1007.74,64341.83625,64334.7225,23625,23624,1
"CP7516",611.57569396809,611.572631835938,611.582641601562,1001.64,996.565,1007.74,9992.48181818178,9982.32272727269,1696,1695,1
"CP7517",950.70224729726,950.692260742188,950.711975097656,997.581,987.427,1015.86,40647.0044285714,40626.6951428571,5088,5087,1
"CP7518",951.713520329298,951.699096679688,951.727355957031,996.565,988.441,1001.64,21007.7314615384,20759.0267087294,3392,34,1
"CP7519",494.567488543198,494.563446044922,494.575714111328,999.61,994.537,1003.67,16522.6117777776,16244.3118227215,3392,29,1
"CP7520",601.443150911506,601.439697265625,601.447326660156,989.457,982.351,998.596,94716.4725,93788.1346348315,9498,48,1
"CP7521",314.270080746313,314.266876220703,314.274169921875,1005.71,1002.66,1009.77,9648.27000000002,9218.99947030499,3053,15,1
"CP7522",779.347818717107,779.346527099609,779.349822998047,1007.74,1004.69,1009.77,3100.83199999996,3096.76799999996,1018,1017,1
"CP7523",279.232083902816,279.231231689453,279.234375,1001.64,997.581,1005.71,45498.0130000001,42551.8834959017,14247,28,1
