"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample"
"CP7856",860.590400447309,860.578536987305,860.604934692383,1002.28,999.322,1016.05,62418.0719999998,62352.5375999998,15348,419,1
"CP7857",860.576426350463,860.494659423828,860.627899169922,902.849,876.265,916.627,44473.0173658536,44330.9628146341,2008,256,1
"CP7858",860.585553414206,860.555267333984,860.627532958984,933.363,916.627,959.942,65600.5675000001,65436.6596022728,2373,291,1
"CP7859",860.613198113067,860.586547851562,860.627024332682,1022.94,1016.05,1028.85,778310.89230769,776708.430769228,260088,886,1
"CP7860",860.599340921205,860.581329345703,860.610632324219,985.538,980.616,991.444,22886.4545454545,22836.8426181818,3225,363,1
"CP7861",860.591621125611,860.580393473307,860.602508544922,971.754,967.817,980.616,18766.2876153846,18708.3967538461,2024,228,1
"CP7862",860.606786330404,860.5810546875,860.625015258789,995.384,991.444,999.322,17976.6112500001,17939.3877000001,2918,329,1
"CP7863",860.618077736986,860.580596923828,860.660232543945,1068.21,1038.69,1111.53,162580.848648648,162137.902702703,6108,629,1
"CP7864",860.633277296136,860.626617431641,860.646199544271,1031.8,1026.88,1036.72,15300.2159999999,15235.2719999999,2034,209,1
"CP7865",861.608378325845,861.589009602865,861.617340087891,1067.23,1062.31,1073.14,32089.2900000005,30936.1903636368,4411,26,1
"CP7866",861.618736172946,861.597900390625,861.635757446289,1041.64,1035.74,1046.56,5631063.41999997,5628160.5123636,2132524,5640,1
"CP7867",861.608164994476,861.591491699219,861.631469726562,1021.96,1016.05,1035.74,267259.261500001,262174.712800001,43448,114,1
"CP7868",866.560900429485,866.507293701172,866.592447916667,1135.15,1127.27,1142.04,39468.3939999999,39337.6302666666,3845,233,1
"CP7869",866.554861597699,866.540079752604,866.573425292969,987.507,983.569,990.46,8842.13742857153,8776.77137142867,1689,102,1
"CP7870",866.535329995315,866.497039794922,866.576477050781,944.192,939.27,949.116,18171.7776,18081.88362,2838,172,1
"CP7871",866.55619997488,866.523864746094,866.586730957031,979.631,975.693,983.569,8539.55299999997,8466.01084999998,1639,99,1
"CP7872",866.524476071658,866.506408691406,866.580139160156,994.399,990.46,999.322,10950.478,10868.7506666666,2653,161,1
"CP7873",866.542223154003,866.517913818359,866.558898925781,954.039,949.116,959.942,12979.3898181818,12881.3653090909,2374,144,1
"CP7874",866.559443140758,866.548522949219,866.582733154297,1009.16,1004.24,1015.07,20584.8763636364,20486.8156363637,2713,165,1
"CP7875",866.551829474024,866.514770507812,866.5810546875,903.834,897.925,910.722,41888.5185384616,37461.3763361824,5115,14,1
"CP7876",866.537844186163,866.515686035156,866.563293457031,840.834,834.928,844.771,13599.0887999999,13148.9538277777,2713,46,1
"CP7877",866.565035164073,866.546468098958,866.597391764323,874.297,867.407,882.172,28578.1496666666,27923.3857160494,2645,45,1
"CP7878",866.568091832331,866.534103393555,866.592498779297,1105.62,1061.32,1123.34,175244.893333333,172625.541893004,20692,52,1
"CP7879",866.548292000455,866.513061523438,866.585327148438,802.447,792.606,810.319,10071.8086111111,9294.49583847735,1017,17,1
"CP7880",866.55351463596,866.541748046875,866.575286865234,891.033,882.172,896.94,39542.7968000001,38887.8998123458,4651,80,1
"CP7881",866.549326032933,866.518737792969,866.584106445312,920.564,911.707,927.457,49140.984375,48445.2682291667,3802,65,1
"CP7882",866.548679170798,866.516906738281,866.578308105469,934.348,928.441,939.27,30378.2983636362,29887.1649292928,3153,54,1
"CP7883",866.573525412321,866.546813964844,866.600158691406,1045.58,1038.69,1057.39,1783003.6631579,1781328.71578948,171320,652,1
"CP7884",866.561296001295,866.543762207031,866.589385986328,1032.78,1027.86,1038.69,314246.233636368,313240.923223145,39397,140,1
