"","precursor_mz","precursor_rt","precursor_intensity","mz","intensity"
"190",242.925437519306,40.276,9920,38.9631042480469,237
"191",352.901825110694,42.693,9920,80.9469833374023,822
"192",352.901825110694,42.693,9920,90.9742736816406,934
"193",352.901825110694,42.693,9920,158.961166381836,290
"194",352.901825110694,42.693,9920,216.920471191406,343
"195",352.901825110694,42.693,9920,226.948791503906,158
"196",352.901825110694,42.693,9920,233.090515136719,132
"197",191.066934269489,40.276,3893,191.078521728516,105
"198",226.947883288998,40.276,111287,90.9757843017578,3971.5
"199",226.947883288998,40.276,111287,158.964027404785,303
"200",274.88245806474,43.855,3586,80.9472198486328,448
"201",322.811630196407,43.855,3332,80.9472198486328,714
"202",322.811630196407,43.855,3332,196.865707397461,105
"203",322.811630196407,43.855,3332,206.893661499023,105
"204",364.924730565161,45.047,2070,191.0390625,237
"205",364.924730565161,45.047,2070,365.110015869141,184
"206",384.764662047812,43.855,2765,80.948486328125,343
"207",384.764662047812,43.855,2765,82.9431533813477,132
"208",384.764662047812,43.855,2765,140.901031494141,105
"209",384.764662047812,43.855,2765,208.889541625977,158
"210",384.764662047812,43.855,2765,258.818786621094,132
"211",400.829991373462,43.855,3688,80.9468078613281,474
"212",400.829991373462,43.855,3688,90.9767837524414,132
"213",400.829991373462,43.855,3688,206.895034790039,264
"214",400.829991373462,43.855,3688,216.922393798828,290
"215",400.829991373462,43.855,3688,226.952911376953,105
"216",450.756284231126,43.855,4029,80.9472198486328,422
"217",450.756284231126,43.855,4029,82.9444427490234,158
"218",450.756284231126,43.855,4029,90.9758758544922,132
"219",450.756284231126,43.855,4029,198.858551025391,105
"220",450.756284231126,43.855,4029,206.893661499023,158
"221",450.756284231126,43.855,4029,216.923080444336,158
"222",450.756284231126,43.855,4029,218.920669555664,105
"223",450.756284231126,43.855,4029,256.820648193359,184
"224",462.780875959801,43.855,1742,80.948486328125,184
"225",462.780875959801,43.855,1742,82.9431533813477,158
"226",462.780875959801,43.855,1742,216.918914794922,105
"227",462.780875959801,43.855,1742,218.920669555664,105
"228",500.682095305847,43.855,1914,80.9455337524414,105
"229",508.715832782614,43.855,2978,80.9455337524414,132
"230",508.715832782614,43.855,2978,206.893005371094,185
"231",508.715832782614,43.855,2978,256.819915771484,106
"232",508.715832782614,43.855,2978,266.846435546875,106
"233",313.036891599403,39.061,2247,177.062347412109,527
"234",196.865311496065,45.047,3312,80.9459457397461,290
"235",138.90584629239,43.855,2715,80.948486328125,237
"236",306.974903884743,46.286,2346,191.041015625,237
"237",429.076462306291,47.46,1518,191.039138793945,158
"238",248.998712829315,46.286,1518,191.037109375,211
"239",311.069359721522,48.62,1333,160.031753540039,158
"240",527.13250903647,48.62,897,527.166320800781,145
"241",256.815940097666,45.047,6948,80.9472198486328,530
"242",256.815940097666,45.047,6948,82.9431533813477,395
