,exid,precursor_mz,precursor_rt,precursor_intensity,mz,intensity
5,385,537.163779256623,79.543,1640,221.07723510116853,163.0
6,385,537.163779256623,79.543,1640,281.05514238023983,1542.0
7,385,537.163779256623,79.543,1640,282.03031958441386,169.0
8,385,537.163779256623,79.543,1640,282.04927177916653,604.0
9,385,537.163779256623,79.543,1640,283.0475295072832,239.0
10,385,537.163779256623,79.543,1640,299.0642922474765,256.0
11,385,537.163779256623,79.543,1640,326.96964279288056,209.0
12,385,537.163779256623,79.543,1640,415.0345019569523,306.0
13,385,537.163779256623,79.543,1640,503.1024886791138,396.0
14,385,537.163779256623,79.543,1640,519.1467106967722,209.0
15,385,537.163779256623,79.543,1640,536.1611176259361,280.0
0,386,537.1628415013159,87.694,1406,73.04826549282618,233.0
1,386,537.1628415013159,87.694,1406,89.05976942131043,209.0
2,386,537.1628415013159,87.694,1406,133.08808236024635,186.0
3,386,537.1628415013159,87.694,1406,147.06443356914772,399.0
4,386,537.1628415013159,87.694,1406,149.04517805375028,233.0
5,386,537.1628415013159,87.694,1406,221.08085688249983,209.0
6,386,537.1628415013159,87.694,1406,281.0520571640235,1841.0
7,386,537.1628415013159,87.694,1406,282.0556562233902,503.0
8,386,537.1628415013159,87.694,1406,283.04917753985467,398.0
9,386,537.1628415013159,87.694,1406,299.06596731884713,233.0
10,386,537.1628415013159,87.694,1406,326.97136098067915,186.0
11,386,537.1628415013159,87.694,1406,341.0207348375824,163.0
12,386,537.1628415013159,87.694,1406,415.0392026697221,306.0
13,386,537.1628415013159,87.694,1406,416.0427690451642,163.0
14,386,537.1628415013159,87.694,1406,503.1075564366429,256.0
15,386,537.1628415013159,87.694,1406,536.1597773494624,233.0
0,387,537.168620110808,93.807,1566,89.05990741028008,256.0
1,387,537.168620110808,93.807,1566,133.0882864087753,233.0
2,387,537.168620110808,93.807,1566,147.06807990004995,402.0
3,387,537.168620110808,93.807,1566,149.04540596945264,209.0
4,387,537.168620110808,93.807,1566,281.05248168007097,1394.0
5,387,537.168620110808,93.807,1566,282.0537131434023,362.0
6,387,537.168620110808,93.807,1566,283.0496050222866,256.0
7,387,537.168620110808,93.807,1566,299.0664185852946,306.0
8,387,537.168620110808,93.807,1566,326.9744044239352,209.0
9,387,537.168620110808,93.807,1566,341.02124835695906,163.0
10,387,537.168620110808,93.807,1566,416.043393742158,163.0
11,387,537.168620110808,93.807,1566,503.1051459271951,281.0
12,387,537.168620110808,93.807,1566,536.1605797720332,425.0
0,388,537.165161819953,126.411,1482,73.04859183800428,233.0
