"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample"
"CP02158",679.360783062559,679.346496582031,679.367004394531,72.976,70.025,75.929,1298.88,1293.96,535,534,1
"CP02159",201.113076684033,201.109451293945,201.115798950195,73.96,71.008,79.864,2397.024,2333.64941772152,737,71,1
"CP02160",230.138766208674,230.137191772461,230.139663696289,71.992,68.056,77.896,8561.784,8551.944,2461,571,1
"CP02161",249.152272822682,249.150024414062,249.154800415039,71.992,68.056,76.913,8158.28111111111,8144.8972,2461,462,1
"CP02162",267.07129075122,267.069305419922,267.071655273438,70.025,64.119,74.945,31311.7445454545,31230.8448,10364,991,1
"CP02163",294.143428068281,294.139190673828,294.145782470703,71.992,66.087,77.896,15245.419,15160.914811828,4387,300,1
"CP02164",314.119784706042,314.117492675781,314.122161865234,71.992,65.103,77.896,20465.8477692308,20455.0229230769,4787,968,1
"CP02165",334.116526301554,334.114440917969,334.117553710938,71.992,69.04,76.913,9654.26624999999,9647.37737499999,2461,1572,1
"CP02166",354.09663041545,354.092987060547,354.103057861328,71.992,66.087,77.896,3517.11383333333,3500.92407526882,798,84,1
"CP02167",372.101584377281,372.096252441406,372.10693359375,72.976,70.025,78.881,2679.432,2617.48359493671,1197,23,1
"CP02168",374.163598718419,374.161651611328,374.170837402344,71.992,67.071,77.896,7339.35,7324.20522432114,2033,251,1
"CP02169",387.213331086646,387.208862304688,387.217376708984,72.976,69.04,78.881,2333.3011,2324.4442,598,437,1
"CP02170",390.109453334157,390.105102539062,390.116851806641,71.992,68.056,77.896,4282.368,4259.97089032258,1070,129,1
"CP02171",392.10893030574,392.105346679688,392.111968994141,71.992,68.056,77.896,1869.6,1819.54931612903,428,12,1
"CP02172",398.088872794279,398.083770751953,398.094451904297,71.992,65.103,77.896,6135.71961538462,6113.14373303168,1284,183,1
"CP02173",408.183075071795,408.174346923828,408.189239501953,72.976,69.04,78.881,1547.0052,1537.1642,428,155,1
"CP02174",414.084759740612,414.083221435547,414.087188720703,72.976,70.025,76.913,1685.592,1679.688,997,262,1
"CP02175",431.0931406737,431.085754394531,431.099670410156,72.976,70.025,77.896,1881.169,1869.11653125,642,166,1
"CP02176",443.2347745815,443.232147216797,443.23876953125,72.976,68.056,78.881,2757.42272727273,2747.58181818182,590,272,1
"CP02177",460.074857959708,460.071411132812,460.077362060547,72.976,68.056,77.896,3519.768,3503.77006451613,1197,179,1
